	2562
Zhichao Liu	104293
Yetrib Hathout	84821
Pankaj K. Das	12221
David M. Lane	3813
P. P. Das	45206
Satwik Rajaram	86256
Yoav Intrator	148935
Steven E. Condon	148963
Peter Sterling	103316
Mauro Maria Baldi	124135
Mathieu Marquis Bolduc	48843
Yihui Liu	65901
Prasad Potluri	8274
Martin Woolley	71842
Donglin Liu	76587
Huiyi Liu	109619
Antoni Jaume-i-Capó	72232
Fan Ye	140432
Shankara Narayanan Krishna	40356
A. Sharma	8272
Roberto Gil-Pita	21764
Alan F. Newell	71296
Leonardo Maria Reyneri	59721
Kai Li	84003
Shuixia Guo	99497
Yao Long	43951
V. Nixon	32407
Hyunja Lee	69966
Chengxiang Wang	130742
Natalia S. de Groot	94639
Alexandre A. B. Lima	29298
Kazuhiro Otsuka	34243
Sushila N. Subramanian	136063
Ip-Wang Chan	161141
Ravi Tammana	45826
Alfredo García Hernández-Díaz	36435
Rados Radoicic	17410
Laurence Calzone	76725
Duygu Ucar	83814
Ulrich Höhle	55889
Minzhu Xie	90602
Joao Paulo Gois	24705
Giancarlo Alfonsi	162288
Andrew N. K. Chen	51583
Karen Hemingway	7378
Elijah Roberts	97968
Tsorng-Chi Chen	64748
Janak J. Parekh	156074
Mercè Mora	116349
Xiaojun Xiao	127293
Veselin Rakocevic	129426
Eric Béchet	6517
Levent V. Orman	71716
Dale Goodhue	29792
Giuseppe Di Guglielmo	156494
Khaled M. F. Elsayed	135448
Weidou Ni	64857
T. G. Subash Kumar	60759
Elliot Marston	85491
Antej Nuhanovic	84301
Wendy E. Thomas	102701
Diane Trout	93618
Reynaldo Novaes	162312
John Macauley	79943
Madan Gopal	13231
Julien P. Stern	126446
Lukás Mach	17900
Ferhat Khendek	118101
Fabien Mareuil	89445
Claudia Boeres	44765
Ray R. Larson	32225
Desney S. Tan	73936
Stephen L. Hary	135684
John M. Eppley	94253
Ismênia Ribeiro de Oliveira	71448
Dora Blanco Heras	153189
Manfred Huber	140660
Sandra C. Henderson	30183
Miguel Nussbaum	29500
Anna A. Nilulova	91567
Prabhu Kandachar	113687
Paolo Detti	121159
Yunhan Dong	59113
Weixin Si	154591
Fei Du	110121
Reinaldo Martinez Palhares	66460
Soon-Ki Jung	59434
Roberto Di Pietro	53223
J. W. Lian	52073
A. S. Madhukumar	22979
D. F. Radcliffe	9389
Chong-Sze S. Tong	4856
Ildefonso Cases	78126
Petr Salinger	162381
Michael J. Ruf	2643
Syh-Shiuh Yeh	8568
Henry D. Priest	87930
LiGuo Huang	11512
Ken Mai	164220
Marjo Lipponen	121888
Anna Maria Fanelli	55569
Benjamin E. Beckmann	51330
Roberto Pirrone	58756
Mojtaba Hosseini	137483
Alejandro A. Schäffer	79055
Y. I. Pan	55034
Mikhail Yakimov	138103
Xian Du	113747
Xuedong Zhang	68312
Lei Xin	99275
Riyad Alshammari	129785
Kengo Nakajima	161202
Alexandra V. Pokhilko	104261
Eric A. Brewer	125297
Nancy R. Padilla	53777
Annie Y. H. Chou	52068
Per Gärdén	77944
Guilherme A. S. Pereira	62006
Valerie V. Cross	55475
Nam Chul Kim	12547
Valerie E. Polichar	74478
Mariagrazia Fugini	148299
Mehdi Divsalar	54945
Juan Andrade-Cetto	38404
Keon Jang	129771
Marcelo Camperi	63033
Richard Barber	143796
Eric Cosatto	11307
Zeynep Sener	152283
Jintae Park	133966
Wendy Lee Stratton	31962
Ranjan Sinha	86606
Chris R. Jesshope	161779
Zeng-Guang Hou	42223
Teresa L. Johnson	163644
Mauricio Martínez-García	20876
David A. Relman	88916
Ricardo Poley Martins Ferreira	135510
Andrea Masini	120208
Melvyn J. Hunt	14508
Steve Walker	71940
Johannes Gräßler	91418
Veit Schwämmle	88491
Oliver S. P. Davis	85784
Bingli Guo	158468
Girbe Buist	78523
Roman M. Kolpakov	121737
Pankaj Bhatnagar	78262
Stephen G. Oliver	77961
Alfredo Petrosino	2473
Z. Wang	53459
Xiangyang Ji	5159
Su Myeon Kim	128440
Paul H. Calamai	31795
Petra Zigert	123293
Massimo Romano	107223
Dmitry Grapov	91739
Andrew A. Bogan	81881
Haonan Wang	60537
Vera J. Cole	149423
Andrés Muñoz	74393
Zhangye Wang	11102
Charles P. Unsworth	69093
Frederico J. Gueiros-Filho	85408
Carlos Zapata	92996
Alessandro Margara	151228
Yifeng Xu	69326
Ildar Z. Batyrshin	55443
Daniel Meister	121934
Francisco García Sánchez	54981
Enzo Alberto Candreva	74871
David D. Clark	127445
Gloria Chou	40173
Zong Chen	111783
J. Friedman	116549
V. Michael Bove	75190
William M. Truman	97069
Xiangdong An	54740
Colin Harwood	81395
István Harmati	57773
George A. Reis	163866
Parthasarathy Guturu	45090
Yu-Neng Fan	53648
Huisheng Shu	55771
Sung Je Hong	8814
Ronghan Jiang	94797
Tim Campbell	73161
Du Li	70074
Dang D. Long	97518
Jinghua Huang	29671
Roland Perko	38605
Mark W. Jones	24135
D. T. Lee	1370
Dmitrii Filimonov	79344
Xiao-Hua Yu	66155
Ryan Richt	97603
Susan Rickard	63860
J. L. Grange	135673
Chun-peng Wang	151359
Anna Kedzierska	86485
Mehran Najafi	151940
Massimiliano Caramia	118936
Janne Näppi	112086
Boyke Bunk	82914
Hiroyuki Torikai	42070
Carlos Salazar	104399
Xiaojing Song	108922
Juan Carlos Ruiz-Molina	19127
Jiangang Duan	968
Johannes Dr?ge	102065
Christin Keller	106023
Rune B. Lyngsø	78415
Jianhua Yao	6047
Néstor M. Peña	143091
George Michaelides	147018
Simon Crevals	124207
Achim Metz	142085
Balas K. Natarajan	1708
J. Guillaume Pelletier	64381
Patricia Sebastián	97686
D. McPhee	70124
Valerie J. Davidson	56954
Keith A. Harrison	150009
Mingquan Wu	138180
Norihiro Koizumi	108431
F. Zheng	64213
Rangaswami Balakrishnan	124010
Rick Donovan	53824
Masoumeh P. Ghaemmaghami	49598
Herman Manakyan	31080
A. Kapley	93586
Arti B. Gaur	98984
HyungJun Cho	76986
Giovanni Pau	113725
Frederick H. Strobel	101305
Miska M. Hannuksela	11545
Amnon Shashua	33280
Ren Wang	53773
Jun Cheng	3926
Dong-Seog Han	18280
Sumin Wang	109884
Jürgen Bohn	73945
Martin Lacayo	32522
Subbaratnam Muthukrishnan	82671
Anthony C. C. Coolen	41385
Fan Yang	12273
Inga Peter	81219
Hilary A. Coller	87265
Yuanmin Wei	25208
Ronald Van den Berg	106109
Adam Prout	151780
Paolo Baracca	134669
Andy Harter	140367
P. Shannon	85273
Christine L. Mumford	38022
Lalu Mansinha	19137
Roy Navon	96265
Guojun Han	158651
Shaoyun Chen	43020
Shinya Nakajima	15472
Ivan Chajda	57545
Maciej Zaremba	151832
Sebastien de la Kethulle de Ryhove	157973
Ferdinand Stefanus	38971
Hailiang Huang	86496
Wouter A. van Winden	87063
Torsten Crass	77157
Ying-Chieh Liu	52715
Junjie Luo	85697
Ran Wang	25056
Jean-Marc Brossier	19019
Byoungil Lee	75210
R. M. Gagliardi	160129
Dongwook Cho	21823
Ernesto Su	155697
Giordano Beretta	1702
Benjamin A. Burton	17471
Lingjiang Kong	21225
John A. Barnden	54111
Kwang-Seop Song	48235
Leszek Vincent	100829
Michael A. Heather	63559
Rajesh Gupta	115796
Chun-Shin Lin	41360
Stanislaw Kozielski	53949
Oliver Laitenberger	146616
Sanna Suoranta	137443
Alex M. Aisen	38057
Dulanjalie C. Dhanapala	139323
Giovanni Guida	36854
Frens Jan Rumph	138959
Eduardo Aldrete-Vidrio	156895
Roman Matousek	53293
Muneer Bani Yassein	153899
L. Manwaring	163686
John T. Mayes	71665
Poonam Suryanarayan	34556
Manuela Helmer-Citterich	82062
Baocang Wang	145805
YounJeong Choi	87125
Padraig Cunningham	54555
David House	13689
Kevin Bretonnel Cohen	102031
Shigeaki Harada	139193
Xiaofei Shuai	21224
Jos�� M. Pousada Carballo	157825
Raymond S. Norton	97445
Thea Van Rossum	85572
Hubert de Fraysseix	16914
Anton Nekrutenko	87949
Kyandoghere Kyamakya	150493
Anvesh Komuravelli	123551
John M. Orem	63300
Christian Raymond	13469
Chris Smith	106197
Richard W. Weyhrauch	54208
Christoph Stamm	26674
Nikolaos M. Missirlis	162143
Arun K. Somani	3118
Dusko Ur	110813
Andrea Baiocchi	125161
Helaman R. P. Ferguson	6978
Ming-an Sun	89196
Dzung L. Pham	37953
Hidenori Shinoda	47459
Peter J. Turnbaugh	100251
Jelena V. Misic	125035
Horacio P. Leone	55323
Nicolas Pollet	95381
Vianney Kengne Tchendji	154692
Dong-Jin Yoo	9512
Thomas Ott	68796
Kemal Efe	136835
Ivan Vnucko	22457
Hans L. Fetter	122507
Ingela Nyström	44962
Akiyoshi Itoh	49845
Chung-Ming Hu	76920
M. Stella Atkins	111852
Chengzhi Li	130783
Wided Miled	4124
Kunihiko Fujita	26678
Jia Meng	85957
Wooseok Nam	132666
Hiroyuki Yaguchi	46088
Steven J. Bradtke	39105
Changan Zhao	146538
Pascal Urard	157991
José Rino	102797
Viswanath Gopalakrishnan	5059
Tin Maung Maung Shein	8823
Jonas Gamalielsson	64153
Adel A. M. Saleh	75185
H. K. Wang	137193
Andrei Zinovyev	84720
Jung-Min "Jerry" Park	130555
Sarma B. K. Vrudhula	131733
Marc Jacobs	6008
Supachai Tangwongsan	62691
Leah H. Jamieson	75107
Fang-Jing Wu	73107
O. Cuevas	18239
Gunar E. Liepins	144108
Nadine Schuurman	70533
Dave Robertson	79714
Jingwu He	81474
Nadir Alvarez	97191
Tania Lima	101728
Junliang Chen	128014
Jutta Eusterbrock	121250
Rik Van de Walle	2997
Hafid Laayouni	105402
Yali Xue	109674
Kusha Panta	132655
Willi Sch?nauer	162443
Håkan Karlsson	95887
Lilong Shi	38280
Jarkko Tikka	61453
Martijn Meijers	32601
Luciano Albini	62840
Les G. Proll	119154
M. Mokhtari	72864
Nicolas Tabareau	43743
Manish Vachharajani	163867
Ali A. Sadeghi	42752
Silvere Bonnabel	35788
Renqiu Wang	157511
Roy Stee	122011
Say Wei Foo	687
Ricardo Citro	111718
Mary Kate Worden	63019
Klaus Meißner	126525
Karen W. Halford	158998
Xiaomin Liu	62567
Tadashi Hiroshima	46102
Jingxin Zhang	18705
Erwin Pesch	100589
Ismail Khalil Ibrahim	135809
Serkan Ayaz	139362
Gaurav Tandon	39977
Fernando P��rez-Gonz��lez	158699
Shaolin Liu	79850
M. Masudur Rahman	60139
Richard S. Barr	119336
Yoav Gilad	83597
Ivan Kovtun	38368
Wei-Yen Wang	56754
D. Rodrigo	133648
Gurpur M. Prabhu	153080
Laurent Trilling	99689
Marília D. V. Braga	86749
Harshal S. Chhaya	140196
J. Twittya	64509
Zsolt Marczell	41950
Gabor T. Marth	89118
Jau-Yien Lee	7723
Bettina Grün	87361
Ernest D. Laue	77809
Sigurd Meldal	120043
Dinesh Amirtharaj	164003
Vishal Sharma	43406
Vladimir Zanev	150031
Andreas Roepstorff	44186
Yingchun Yang	74268
Leszek Holenderski	118145
Roman Pahl	88675
Lee Pelley	30377
Aline Gouget	146391
Xike Li	157831
Matthew A. Hibbs	83030
P. Nickolls	47070
Liming Liang	83674
Katarina Stanoevska-Slabeva	127654
Richard H. Lathrop	103041
Achim Kramer	103760
Ben G. Matley	148886
Jürgen Hartler	88947
Jost Ludwig	78461
Helmut Grabner	44358
Pravin Chandra	63136
Paul P. Wyatt	3595
Jean-Claude Thierry	80907
Corinna Kolárik	96761
Ivan Andonovic	159039
Sam S. Stone	163955
Corneliu S. Pencea	63581
Gaurav Agrawal	139798
Johan Karlander	120745
Xuelian Wang	20409
Victor Sourjik	102809
Muhibur Rasheed	27198
Joel Franklin	116235
Graham Jones	59506
Arabinda Verma	133333
M. Ernst	148187
Kiyoshi Arai	23321
Domenico Rosaci	54757
Fevzi Belli	149698
Ralf Stiebe	121966
Rene Donner	48728
Keith T. Blankenship	157920
Daniel B. Lysak	46713
G. Jason Mathews	126972
Just L. Herder	109020
Mikael Buchholtz	144993
Gang Leng	42189
Yu Ma	38581
Juan Reig	132274
Don Kerr	52907
Zhengzhang Chen	100820
Jérôme Gouzy	75964
Abdur Chowdhury	125713
H. F. Zhang	50301
Dhananjay D. Marathe	85616
Karl Tombre	7071
Chun-Chieh Hsiao	112745
Norbert J. Pelc	2802
T. P. Robinson	31796
Zhenhong Liu	121623
Nectaria Tryfona	28285
Alev M. Efendioglu	71347
Gustavo Glusman	78098
Rhys Whyte	113576
Jose Silveira	13792
Joni-Kristian Kämäräinen	62213
Pedro J. García-Laencina	65925
Konstantin N. Borozdin	3635
Steven T. Dougherty	121188
Jack F. Gerrissen	41649
Reiner Standke	15809
Yee Hong Leung	158902
Ian Abraham	42883
Mark J. T. Smith	1730
Guillaume Jourjon	138163
Wenkai Lu	2072
George J?ngren	157257
Omar Nibouche	19180
Chang Mok Park	60901
Mario Devargas	143901
H. Birali Runesha	95523
José R. C. Piqueira	21479
Ioannis Dagres	133218
Simon M. Stringer	42718
Scot A. Wolfe	91424
Marcio L. Acencio	99627
Craig T. Armstrong	90117
Klaus Donner	38148
R. Cotugno	98103
Pascale Charpin	120974
Deng Wang	143714
Attila G��rsoy	154095
B. E. Bilgin	130374
Leandro Caniglia	117662
Mark Fiala	37667
Sun-Chung Chou	131816
Eduard Bartl	57881
Mehrdad Jazayeri	63723
Jinhan Chung	111550
O.-Kaung Lim	9835
M. J. Rupérez	9202
Lee G. Pedersen	79629
Christian Schindelhauer	117713
F. Kacher	57220
Nicole Fernandes	94473
A. Ardeshir Goshtasby	3223
Yehuda Rav	110881
Fabian Di Fiore	24425
Byung Tae Choi	49913
Juan M. Pascual	49196
H. K. Huang	46035
Johannes H. Barnard	160441
Zoonky Lee	29605
Ruti Schechter-Glick	107345
James H. Clark	4712
A. Sedki	28107
Tuangthong Wattarujeekrit	93924
Pangfeng Liu	117148
Yikun Li	32902
David Ben-Haim	27220
Arta A. Jamshidi	68905
Conny Claus	64481
Simon Plantinga	24445
Frank C. Lambert	128100
Osvaldo Simeone	131216
Josep Silva	124398
Olivier Lévêque	108492
Hai Huyen Dam	160133
Baichun Xiao	31035
Yeuan-Kuen Lee	12425
Yongmei Liu	86931
Simon Künzli	125606
Ting-Ting Shu	59345
Pilar G. Sagredo	112894
Ubbo Visser	101024
Swagato Basumallick	147646
M. D. Rice	88591
Per Eriksson	86665
Nan Xiao	22785
Julong Lan	109586
Nathan Verberkmoes	98951
Gert Durieux	36703
Martin E. Nau	93912
Onur C. Hamsici	35853
Bertram Emil Shi	3551
Atul A. Shah	81311
J. Gonzalez	141949
Bican Xia	109777
Matteo Accetturo	96912
Jeff Gray	151659
Marco Fratarcangeli	11055
Gaël de La Croix Vaubois	41101
Shaohui Xing	157343
Richard Garner	120228
Yipeng Li	14293
Mikhail G. Dozmorov	90730
Brian M. Landry	73583
Dania Marabissi	131539
Pandurang Kamat	145347
Fabrice Besnard	102332
Tomas Ohlson	93507
Chien-Cheng Tung	160360
Salim Taleb	10219
Maritza Alvarado	63841
Christine Herold	85988
Simon M. Lin	77493
E. James Kehoe	68519
Sung-Hong Wie	140619
Anne V. D. M. Kayem	145182
Sergey Hosid	49683
Dirk Staelens	126458
Lawrence Chung	147999
C. J. Zheng	82636
M. Kemal Sönmez	14904
Alexander Schönhuth	77128
Guy de Ghellinck	116491
Joonho Ok	73550
Armin Heinzl	36296
Paul Lewis	32641
Caisheng He	95101
Huijiang Li	134021
Kai-Yang Cheng	137882
Jakob Lichtenberg	154900
David A. Bell	39181
Sun Yin	6792
Wei-Han Liu	21136
Kathie Cameron	123208
Yen-I Chiang	120674
James H. Fetzer	54173
Ramón P. Otero	39870
Shyong Jian Shyu	47628
Steffen Grünewälder	40061
Alain Chateauneuf	55633
Nabeel T. Hendow	44524
Gang Xiong	23262
Alan C. Lin	7915
Maria Garcia de la Banda	119086
Marco A. J. Iafolla	95537
Ales Prazák	53910
M. Ibukahla	159370
Ian Gambini	121375
F. Hashim	148366
Genaína Nunes Rodrigues	150942
A. D. R. Choudary	57870
Clémence Kress	103102
Shan Ouyang	109929
Julio C. Jacobo	61744
Florian Vollmer	73795
Paul N. Hilfinger	163899
Yoichi Takebayashi	15407
Michael M. Kozlov	104242
Teresa A. Webster	77374
Haris Ioannis Volos	133606
Joaquim Puigjaner	81484
Hung-Lung Wang	122621
Scott Douglass	71993
Denis Teissandier	8360
Will Bridewell	39848
John R. Nicol	135347
Nikolaos Bournaveas	102473
Yoshiki Seo	155705
Mu-Chun Su	47364
Otto Muzik	113243
Svetha Venkatesh	5682
Ru Huang	109319
Jean-François Serignat	111985
Steven L. Salzberg	86048
G. Varese	15626
Huaqun Wang	133635
Chengpeng Hao	21899
Xie Changsong	25664
Ignasi Furi��	158996
Aboubecrine Ould Cheikhna	154000
Xiangping Chen	6800
Gregory L. Smith	8334
Patrick Hanks	36843
Timothy D. Read	84911
Jon E. Ness	97919
Rick Cameron	160372
Xun Fan	142415
Toshinobu Sano	27313
Sabina H. Kaplan	81199
Hüseyin Uzunalioglu	140208
D. Hutchinson	161742
Zhenmin Tang	21708
Keith A. Crandall	80868
John S. Pezaris	64322
Eirik Rosnes	157434
Rajeev R. Raje	80620
Sebastian Zöllner	82694
P. Maynard	135527
Richard LaHusen	72906
K. Widmayer	23554
Vasu Parthasarathy	2392
Ernesto Iacucci	91886
O. M. Aloquili	158369
Daniel Blankenberg	87944
Sanjit Chatterjee	123948
Wing Yee Choo	30651
Thomas J. Boyle	97963
Charles Ross	964
Shen Huang	69655
Chris Mellish	36969
Ying Tao	81806
Amol Deshpande	115850
Chao-Min Chiu	29795
Gwen Littlewort	67419
Simon Kasif	76722
Raymond Tackett	145559
John A. Hamilton Jr.	74357
Werner Henkel	158574
Lorric Ziegler	104292
Lu Yan	69603
Xiaokun Li	9420
Quan-Lin Li	26866
Lorenç Valverde	57280
Ignasi Paredes-Oliva	144850
Anthony Y. C. Kuk	86166
Tianchen Xu	110486
Chun-Kit Chan	128835
Yulan Liang	79658
Jessica N. Landis	94588
Roland Wolkowicz	80966
Sanjay S. Kumar	42107
Xiaobo Zou	61057
Leo Pape	43464
Daniel Kofman	129614
Pradipta Ray	86161
Horst Samulowitz	23887
Damià Segrelles	113142
Jiaxu Wang	21543
Megu Ohtaki	98874
Da-Hui Wang	67218
Zhi-hong Zuo	144403
Margaret C. Cam	94925
David Alleysson	213
Andrej Stefanov	157330
Anastasios Tefas	1754
Jing Fan	25388
Terry R. Rakes	52187
Chung-Shi Tseng	57063
Hannah Alpert	17705
Peter D. Bruza	52539
Lijun Luo	22663
Charalampos Bratsas	113222
Ariel Amato	5516
Pong C. Yuen	5690
Duy T. Ngo	132705
Jabiri Kuwe Bakari	144440
Nesrin Okay	60687
Chi-Kong Lau	88901
Yiwen Wu	137049
Vincent Lecuire	139388
F. Jiménez Hernández	10471
Carmen Santoro	71736
Shiv Saxena	140525
Michael W. Mahoney	35170
Gábor Horváth	14863
Lasse Møller-Jensen	31481
Michele Piana	35076
Kaiwei Xu	109405
Junzhou Huang	11163
P. Jonveaux	86459
Robert De Mello Koch	1998
Jin-Young Ha	47146
David S. H. Rosenthal	154897
Sang-Won Min	136388
Daniel Rocco	81107
Piotr Formanowicz	76509
René Gibson	78026
Arianna Trainito	142455
Yili Tseng	162628
Xuezhi Yang	48209
Richard M. Chubb	32467
Stefano Iellamo	141018
Josef van Genabith	37002
Toru Akishita	146171
Anita Araneda	111012
Seung Joo Lee	11225
Lilit Nersisyan	92407
Fang Chen	103439
Hsi-Jian Lee	2944
Wil Michiels	146380
W. P. Th. M. Mali	111741
Shuenn-Ren Cheng	49145
James Carpinter	144415
Juan K. Lin	68044
Jean-Yves Coppée	89975
Robert Saettone	127424
Michael D. Johnson	9854
Hsin-Min Sun	137005
Rafael Wisniewski	56131
Andrei Paun	40302
Mahdi Hajiaghayi	158084
Dietmar Kunz	4127
Eduard Oks	17241
José A. Lozano	138421
Quoc Dinh Nguyen	66345
Alex N. Nguyen Ba	91332
Raghunath Poreddy	117141
André Pollok	133146
Frédéric Herbreteau	118501
Roger Zimmermann	11996
Kenneth Kunen	117606
Michael Forrester	71405
Fábio Hernandes	57142
V. Montouri	123130
Maurizio D'Arienzo	125812
Hui-Liang Jin	108020
Tomas G?nsler	159597
Blaise T. F. Alako	92513
Hal S. Greenwald	68555
Ilan A. Kerman	102421
Joachim Charzinski	128909
Kazuyuki Saito	75522
Ioan Cleju	25070
Yongqi Huang	106604
Feiqi Deng	66666
Bozidar Potocnik	27838
Youping Huang	52272
Tanya Vladimirova	75625
Bernardo Miranda	27490
Bart de Boer	50830
Hemanth Sampath	131764
Michael Albert	61153
S. Lambert-Lacroix	75747
Susan Idicula-Thomas	78803
Francis F. Li	65505
Sarel J. Fleishman	79958
Abdurrahman Çarkacioglu	45076
Naofumi Okubo	159411
Erin J. Bredensteiner	118636
Christopher Dubay	76631
Anthony Auerbach	105288
Roel C. de Vrijer	119803
Dmitry Lupyan	79923
Yousuke Ohno	102104
Alfonso Benítez-Páez	102021
Gwo-Jong Yu	45184
Philip Kuekes	154345
Jean-Pierre Doucet	23511
Dae-Ki Kang	49162
Martin Treiber	29039
Bei-Wei Lu	44274
Lawrence C. Sincich	103833
Aya Mitani	94170
Inanç Birol	87134
Hiroaki Chiyokura	7615
José M. Gutiérrez	52862
Juha Kolari	112561
Dinesh Verma	142734
David Nistér	22438
Pratik Dhrona	138591
James R. Hamstra	135660
René Meier	72850
G. X. Liao	18019
Ján Plávka	121395
G. Artana	14438
Guntram Berti	113367
Gary Klein	29489
Anna Galluccio	116556
Sylvain Pion	120840
Bernard J. Chorley	136681
Thomas Engel	136807
Bryan Woodward	111980
Albert Pilot	63373
Jingli Li	158397
Daniel Bennequin	103464
Shiai Zhu	13240
Xin-Hu Li	32501
Yachyang Sun	116883
Ze Wang	38155
Srinivasan Jagannathan	135873
Shuozhong Wang	12567
Balaji Krishnapuram	35339
Rose Joshua	153392
Krishnamurty Muralidhar	52218
Rob van Nieuwpoort	163261
Michele Zorzi	131094
Wilbert E. Wilhelm	118833
C. Melody Carswell	53400
Pradeep Aggarwal	130741
Jerry Tsai	81953
David A. Bourne	108273
Toygar Birinci	20349
Cao Le Thanh Man	137565
Youting Sun	90768
Clarence Filsfils	126035
Saikat Dey	7031
Alain Crouzil	50083
Arturo Pizano	73689
Ergun Gumus	91349
Tianyun Ma	1953
S. B. Kailash	7627
Antonio Padua Braga	66453
McCarthy	52029
W. L. Thorstad	49238
Yusuf Oysal	55287
Soeren Salomo	110972
Thai Son Nguyen	151308
J. Leemet	46590
Casey A. Oliver	99458
Alex Graves	41702
Daniel Zicha	93158
Reinhard Hameeteman	115583
Xing-ming Sun	9549
Giancarlo Pellegrino	144922
Massimo Bergamasco	24412
Natacha Gueorguieva	64712
Yufei Shu	27414
Anton Van Rompaey	32606
Hideo Yamashita	23497
Alexandru Tiberiu Sava	108689
Alessandro Genco	113174
Sérgio Scheer	65485
Darren Kessner	85443
David G. Mann	46751
A. M. Ahmadzadeh	139367
Sharoni Jacobs	94832
Luís M. Silva	43685
Gürcan Gülesir	77345
Tino Hutschenreuther	136836
S. H. Hallett	31531
David Chadwick	152088
S. Shinmori	121734
Paolo Uva	95776
Wu Yiqian	110898
Shen Yang	24838
Gerardo Fern��ndez-Escribano	154817
Li Lao	125807
Marie Dutreix	94952
Brian Walenz	84855
Guido Leoni	89378
Rosario El-Feghali	1050
Jesús Tomás	37259
Steve Malde	136307
Elena Angiati	75504
Benjamin Arazi	96771
Yuji Oie	127137
Eugenio Mancera	86152
Philippe Gambette	86010
Ming-Yang Cheng	69477
Huiyu Zhou	13102
Lei Yang	10732
Miquel Ferrer	38845
Anna Kuchina	103995
Hongxin Zhang	11031
Giacomino Veltri	140482
J. H. Rieger	17297
Yuefei Sui	62249
Curtis LeBaron	70446
Matthew I. Frank	163957
Michel Schmitt	60240
Vincent W. S. Chan	75285
Arik A. Melikyan	81462
Jiandong Li	109544
Claire Lassudrie	126254
Aleck C. H. Lin	53560
Zhen-Fu Hu	95350
Kuan-Yu Lin	98838
Serryn Eagleson	31410
Thorsten Bernholt	17595
Vincent Oria	31508
Christos Anagnostopoulos	57644
Josep Alegre	85050
P. Seidel	43454
Qiang Ni	134761
Stefan Wolfgang Pickl	121398
Chad Schmitke	27512
Heather A. O'Neill	92035
Christoph Zechner	69023
Claudia Pelizaro	32370
Liang Zheng	158538
Wanshi Chen	140752
Elmar W. Schwarz	125504
Miguel A. Prada	67452
Bruce R. Lewis	30879
Jeremy Wood	137238
W. Usaha	142546
Fengtao Fan	27189
Charay Lerdsudwichai	46537
Hitoshi Yoshino	157579
Shin-Ming Liu	163818
Quentin Mérigot	17943
László Szirmay-Kalos	25034
Thomas Beth	134992
D. Bachiochi	125096
Hakem Beitollahi	139485
Myun Joong Cheon	30322
Xiaohong Yuan	153695
Craig Robertson	8532
Robert H. Gross	83538
Hong Yan	2374
Frederic Lesage	115187
Seng Luan Lee	3056
Han-Bin Kim	46318
Zhizheng Liang	21382
Sridhar Chirravuri	160919
Chad D. Brock	84524
Sridhar Mahadevan	35901
Sebastian Mirolo	163998
Lina Gunnarsson	101436
Koichi Kondo	7605
Günter Theißen	89568
Marius Minea	118131
B. Ramamurthi	160545
Hiroshi Yanagawa	40552
Nicolas Antille	80024
Kunio Kondo	26561
Ishwar K. Sethi	46661
Leandro Nunes de Castro	40604
Nelleke Oostdijk	13795
Juliana S. G. Fischer	88898
Marika Kästner	67543
Yu Zhu	21585
Hong Yao	139023
Ryan G. Christensen	91420
Nipon Theera-Umpon	47856
Timothy R. Lezon	102656
Zhen-Liang Shi	160401
Jing-Fung Chen	157202
Vianney Côté	147783
Manuel G. Velarde	43027
Michiel Steyaert	140470
Marco Franke	91592
Vehbi Cagri Gungor	143013
